,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
116,3,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9692151668690279,0.9684242601170956
146,2,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9692632820930241,0.9685326228347015
143,2,baseline,0.9066941297631308,0.8133671332828761,4464,4340,464,442,0.9690906570587834,0.9681749853470932
131,27,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9690040157118694,0.9682814364424022
73,28,57,0.9065911431513903,0.813159782290519,4461,4342,462,445,0.9690532341067861,0.968375022158453
129,27,1,0.9065911431513903,0.8131623454628027,4465,4338,466,441,0.9692529080434058,0.9687159525238322
89,35,62,0.9064881565396499,0.8129670853531066,4472,4330,474,434,0.9692080386876951,0.9685389762135117
121,62,baseline,0.9064881565396499,0.8129568106841073,4465,4337,467,441,0.969165036236619,0.968612072862701
70,28,2,0.9064881565396499,0.8129759943701311,4476,4326,478,430,0.9693694835089526,0.9685266448546695
123,62,57,0.9063851699279094,0.8127480824066069,4454,4347,457,452,0.9689832888274583,0.9682626495640467
108,3,62,0.9063851699279094,0.812751309069358,4465,4336,468,441,0.9691680911714758,0.9682601791080598
96,35,57,0.9063851699279094,0.8127482039887235,4461,4340,464,445,0.9688033022488054,0.9680600199738493
152,57,14,0.9062821833161689,0.8125412961983245,4457,4343,461,449,0.9690350530014227,0.9684309277974669
147,baseline,1,0.9062821833161689,0.8125498212073603,4468,4332,472,438,0.9694852528111341,0.969128154983991
120,62,2,0.9061791967044284,0.812339286714217,4464,4335,469,442,0.969328602540416,0.9685726991473301
40,47,27,0.9061791967044284,0.8123841340726434,4483,4316,488,423,0.96931674345302,0.9686331612959775
106,5,57,0.9061791967044284,0.8123383061377087,4463,4336,468,443,0.9689947024035209,0.9684375888757993
144,2,1,0.9061791967044284,0.8123430561023108,4467,4332,472,439,0.9695844745495074,0.9690185660558273
88,35,3,0.9061791967044284,0.8123520976701564,4472,4327,477,434,0.9689868953477755,0.9680459648832812
90,35,27,0.9061791967044284,0.8123520976701564,4472,4327,477,434,0.9688070572729004,0.9679535801539296
124,62,14,0.9060762100926879,0.8121450158952034,4471,4327,477,435,0.9694308155691701,0.9688847125508606
128,27,baseline,0.9059732234809474,0.8119241799793668,4459,4338,466,447,0.9687553143137614,0.9679716792905309
127,27,2,0.9059732234809474,0.8119272643590758,4463,4334,470,443,0.9688493172050876,0.9678831657039556
93,35,2,0.905870236869207,0.8117450918008908,4475,4321,483,431,0.9691356112737959,0.9682399323750432
149,baseline,14,0.905664263645726,0.8113087266837263,4461,4333,471,445,0.9691929549468389,0.9686738484247606
145,2,57,0.9054582904222451,0.8108938778181494,4450,4342,462,456,0.968887567535275,0.9680430033688634
115,3,57,0.9044284243048404,0.8088343740616053,4444,4338,466,462,0.9687494590219525,0.9678512466070429
