,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
111,3,43,0.9069001029866117,0.8137778608293561,4457,4349,455,449,0.9692328176037567,0.9681584480664767
100,5,27,0.9069001029866117,0.8137875300767443,4472,4334,470,434,0.9690540614849767,0.9684166395883962
33,47,6,0.9069001029866117,0.8138210646855482,4485,4321,483,421,0.9696414575705189,0.9691199920388596
117,62,27,0.9067971163748713,0.813572802240173,4464,4341,463,442,0.9689337309953351,0.9680601659573965
61,6,14,0.9067971163748713,0.8135743651253498,4466,4339,465,440,0.9694738816647223,0.968901985027419
78,17,62,0.9067971163748713,0.813572802240173,4464,4341,463,442,0.9697203555061636,0.9693041334672305
53,6,62,0.9067971163748713,0.813582369411257,4472,4333,471,434,0.9695018003749424,0.9689434953516012
91,35,31,0.9067971163748713,0.8136362365981641,4490,4315,489,416,0.9693253778869559,0.9684239012796918
136,31,57,0.9067971163748713,0.8135764805828881,4468,4337,467,438,0.9692395427034068,0.9684130948521795
95,35,1,0.9066941297631308,0.8134089838758662,4484,4320,484,422,0.9694387499138679,0.9689651473679546
116,3,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9692216586055987,0.9684402229873348
146,2,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9693130520734012,0.9685915779467006
143,2,baseline,0.9066941297631308,0.8133671332828761,4464,4340,464,442,0.9690886840800217,0.9681541678510303
131,27,14,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9690083223214246,0.9683023687118073
73,28,57,0.9065911431513903,0.813159782290519,4461,4342,462,445,0.9691325563389389,0.9684744533341452
129,27,1,0.9065911431513903,0.8131623454628027,4465,4338,466,441,0.9692678008508333,0.9687152161998271
89,35,62,0.9064881565396499,0.8129670853531066,4472,4330,474,434,0.9692420036231526,0.9686065776893843
121,62,baseline,0.9064881565396499,0.8129568106841073,4465,4337,467,441,0.9691936126064263,0.9686797987537334
70,28,2,0.9064881565396499,0.8129759943701311,4476,4326,478,430,0.9694061639420608,0.968587235931744
123,62,57,0.9063851699279094,0.8127480824066069,4454,4347,457,452,0.9690228120471696,0.9683182712122143
108,3,62,0.9063851699279094,0.812751309069358,4465,4336,468,441,0.9691359931406529,0.9682669066563594
96,35,57,0.9063851699279094,0.8127482039887235,4461,4340,464,445,0.9688109395859477,0.9680846112507004
152,57,14,0.9062821833161689,0.8125412961983245,4457,4343,461,449,0.9690567557678019,0.9684368167126148
147,baseline,1,0.9062821833161689,0.8125498212073603,4468,4332,472,438,0.9695369957702731,0.9691774343300403
120,62,2,0.9061791967044284,0.812339286714217,4464,4335,469,442,0.9693700138795874,0.9686680453848557
40,47,27,0.9061791967044284,0.8123841340726434,4483,4316,488,423,0.9693890860076176,0.968701234747389
106,5,57,0.9061791967044284,0.8123383061377087,4463,4336,468,443,0.9690361561723431,0.9685092121333306
144,2,1,0.9061791967044284,0.8123430561023108,4467,4332,472,439,0.9696239341247426,0.9690682321144176
88,35,3,0.9061791967044284,0.8123520976701564,4472,4327,477,434,0.9689846465762835,0.9680717672516277
90,35,27,0.9061791967044284,0.8123520976701564,4472,4327,477,434,0.9688522236361667,0.9680146876052135
124,62,14,0.9060762100926879,0.8121450158952034,4471,4327,477,435,0.9694889017611019,0.9689378708391055
128,27,baseline,0.9059732234809474,0.8119241799793668,4459,4338,466,447,0.9687595360640151,0.9680112552248852
127,27,2,0.9059732234809474,0.8119272643590758,4463,4334,470,443,0.9688878645428307,0.9679272083121425
93,35,2,0.905870236869207,0.8117450918008908,4475,4321,483,431,0.9691304772860501,0.9682315804830812
149,baseline,14,0.905664263645726,0.8113087266837263,4461,4333,471,445,0.9692366574871532,0.9687250049951526
145,2,57,0.9054582904222451,0.8108938778181494,4450,4342,462,456,0.9689642379142533,0.9681264789486171
115,3,57,0.9044284243048404,0.8088343740616053,4444,4338,466,462,0.9688055934499481,0.9679308629143283
