,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
4780,47,28,62,43,baseline,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9700261035697593,0.9694861879055091
7826,35,5,62,43,baseline,0.9085478887744594,0.8170781015975885,4476,4346,458,430,0.9698046420074588,0.9693034253699053
4767,47,28,62,27,43,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9699234026000211,0.9692882576230367
4759,47,28,3,2,14,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.96993487982056,0.9692838521045635
7843,35,5,27,31,1,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.969869877595549,0.9693219559104524
4752,47,28,3,43,baseline,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9699246967043702,0.9693130389990958
4745,47,28,3,31,43,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9700672391162005,0.9693886929693087
8074,35,31,43,2,14,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9699321855377346,0.9692026383667753
4844,47,28,2,1,14,0.9085478887744594,0.8171109688191945,4491,4331,473,415,0.9701415546495599,0.9696744947437226
6352,6,5,baseline,1,57,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9698036661254906,0.9693752312129391
8090,35,31,1,57,14,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9699088916594508,0.9693605118853421
7769,17,43,baseline,57,14,0.9085478887744594,0.8170738414135924,4465,4357,447,441,0.9698411315071386,0.9693233588084557
6282,6,5,62,31,1,0.9085478887744594,0.8171078059470596,4490,4332,472,416,0.9701539016779399,0.9697497031881458
6284,6,5,62,31,14,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9700391082577267,0.969562571899129
6286,6,5,62,43,baseline,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.969908085496086,0.9694195308738439
8215,5,62,31,43,14,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9700657328635975,0.9695593188131747
4925,47,17,5,27,baseline,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9698743114940566,0.9694252096879512
7680,17,62,31,baseline,1,0.9085478887744594,0.8170752750768194,4473,4349,455,433,0.9701845358858107,0.9697775134109441
4916,47,17,5,62,43,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9702069811710787,0.9697819423215748
6302,6,5,27,31,baseline,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9697479347791774,0.9691630910328077
6303,6,5,27,31,1,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9699450841515749,0.9694529616054552
8163,5,3,31,2,14,0.9085478887744594,0.8171047819290347,4489,4333,471,417,0.9698839005951353,0.9691983855945338
7013,28,5,62,1,14,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9700656692191212,0.9697100245299192
7704,17,62,baseline,57,14,0.9085478887744594,0.817073697121951,4470,4352,452,436,0.9697930374979675,0.9693239958449031
6333,6,5,31,1,57,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9699685901781129,0.9695187740237903
4872,47,17,35,62,2,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9700405720806788,0.9694628021544516
6647,28,17,5,31,baseline,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9700234305017595,0.9695274177491867
6639,28,17,5,27,43,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9699072793327207,0.9694002434697446
7761,17,43,2,baseline,1,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9700751522460729,0.9695695857346464
4733,47,28,3,62,2,0.9085478887744594,0.8171047819290347,4489,4333,471,417,0.9699279213578302,0.9692408378590665
7849,35,5,27,43,57,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9695777282350317,0.968958375146877
6235,6,35,1,57,14,0.9085478887744594,0.8170793212570674,4477,4345,459,429,0.9698157585759659,0.9693232435589056
6500,6,27,31,43,14,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9698779180143738,0.9692036158004732
7896,35,3,62,27,31,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9696262041110599,0.9688227385771558
7902,35,3,62,27,14,0.9085478887744594,0.8170781015975885,4476,4346,458,430,0.9695965457851573,0.9688816019194291
7922,35,3,62,1,14,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9698935745555154,0.9693670982775678
7931,35,3,27,43,baseline,0.9085478887744594,0.817073697121951,4470,4352,452,436,0.9695460545007166,0.968788996926313
4602,47,28,17,27,31,0.9085478887744594,0.8171250090370054,4495,4327,477,411,0.9700397659173138,0.9694778948376594
4506,47,6,62,1,14,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9701795716166681,0.969797024578612
4597,47,28,17,62,2,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9701285499615926,0.9695626748887316
4512,47,6,27,31,57,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9697754079780643,0.9691289679861819
6561,6,2,baseline,1,57,0.9085478887744594,0.8170740843864035,4471,4351,453,435,0.9697731167769216,0.9692352830704885
4724,47,28,5,baseline,1,0.9085478887744594,0.8171142705546887,4492,4330,474,414,0.9700737520675969,0.9697129690919826
6502,6,27,31,2,1,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9699157864777042,0.9692872759466516
7953,35,3,31,2,14,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9698012900650463,0.9690086306347061
4587,47,28,17,3,31,0.9085478887744594,0.8171078059470596,4490,4332,472,416,0.9701409818492742,0.9695346342641653
6555,6,43,2,1,14,0.9085478887744594,0.8170740843864035,4471,4351,453,435,0.9700451332681387,0.9695093550244185
7069,28,5,baseline,57,14,0.9085478887744594,0.8170793212570674,4477,4345,459,429,0.9696771196920082,0.9691988456734919
4561,47,6,baseline,1,14,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9700956881970555,0.9697042675750158
6543,6,31,2,baseline,14,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.9699056670059908,0.9692379892491021
4557,47,6,2,1,57,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.9699619499377642,0.9694640857999374
7894,35,5,baseline,57,14,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9696017858470299,0.9690863427197355
6462,6,62,31,43,baseline,0.9085478887744594,0.8170781015975885,4476,4346,458,430,0.9699989061636026,0.969406320436954
6575,28,17,35,5,14,0.9085478887744594,0.8171047819290347,4489,4333,471,417,0.9699577918319866,0.9694804522826813
6579,28,17,35,3,43,0.9085478887744594,0.8170781015975885,4476,4346,458,430,0.9699050942057049,0.9692344050592131
8067,35,27,baseline,1,57,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9695564285503349,0.9690018815370447
7863,35,5,31,43,1,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9700880084302625,0.9695887558255307
4712,47,28,5,31,1,0.9085478887744594,0.8171369976429467,4498,4324,480,408,0.9702442556192981,0.969838465868849
4711,47,28,5,31,baseline,0.9085478887744594,0.8171177111630031,4493,4329,475,413,0.9700269309479497,0.9695363916944526
8057,35,27,43,baseline,14,0.9085478887744594,0.8170752750768194,4473,4349,455,433,0.9696594265276286,0.969032827604978
4468,47,6,3,43,57,0.9085478887744594,0.8170746103696223,4472,4350,454,434,0.9698206379858068,0.9691745982497162
4709,47,28,5,31,43,0.9085478887744594,0.8171109688191945,4491,4331,473,415,0.9701655910467326,0.9696577302436589
4699,47,28,5,62,1,0.9085478887744594,0.8171177111630031,4493,4329,475,413,0.9701750316440335,0.9698247314002263
4695,47,28,5,62,31,0.9085478887744594,0.8171288663226808,4496,4326,478,410,0.9701062743949278,0.9696162419999172
4690,47,28,5,3,baseline,0.9085478887744594,0.8171142705546887,4492,4330,474,414,0.9698661013566287,0.9693419472078781
6421,6,3,43,2,1,0.9085478887744594,0.8170793212570674,4477,4345,459,429,0.9699283456543382,0.969265735290116
4673,47,28,35,43,57,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9698927259624996,0.9692879766259574
6590,28,17,35,62,1,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.970078801196041,0.9696502442971424
4481,47,6,62,27,43,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9699274970613224,0.9693107703360336
7873,35,5,31,1,57,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9699075126958001,0.9694072881106086
8045,35,27,31,baseline,1,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9697975138261259,0.9692174062315532
6442,6,62,27,31,baseline,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9697698496938106,0.9691306765767588
8222,5,62,31,baseline,14,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9699498150576382,0.9694775276433896
8245,5,62,1,57,14,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9699321218932586,0.9695554297848055
6939,28,35,43,1,14,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9700371140641393,0.9695530798018641
5184,47,35,27,31,14,0.9085478887744594,0.8171078059470596,4490,4332,472,416,0.9698923016659917,0.969261112461375
