,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
3406,37,28,62,27,57,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9696675942354059,0.9690393256775548
4036,37,3,27,1,57,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9697192099055925,0.9691246054727521
6252,6,5,3,31,2,0.9080329557157569,0.816062767583562,4482,4335,469,424,0.9700141596230618,0.9693211726782237
7195,28,62,43,baseline,1,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9701380117737188,0.969718371358701
6884,28,35,62,43,14,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9699477572195747,0.9693495974231982
4000,37,3,62,31,1,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9701124691239432,0.969573014987563
5751,6,28,3,31,14,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9700428632818215,0.9693670084498327
4024,37,3,27,43,2,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9697227527814333,0.9688852725494712
3408,37,28,62,31,43,0.9080329557157569,0.816062767583562,4482,4335,469,424,0.9701205519724185,0.9694853150697363
8305,5,43,2,1,14,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9701928945270163,0.9696788142264664
3409,37,28,62,31,2,0.9080329557157569,0.8160892765598902,4491,4326,478,415,0.9700482730622972,0.9693774028414429
4004,37,3,62,43,baseline,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9698291239159649,0.9692452203917782
4008,37,3,62,2,baseline,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.9697726500507631,0.969115848394312
3174,37,6,31,baseline,57,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9699175473082121,0.969325019877494
6090,6,35,5,27,2,0.9080329557157569,0.8160731626629456,4486,4331,473,420,0.9697479772088281,0.9691265137823223
6263,6,5,3,2,1,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9700315982095368,0.9694395564138395
6093,6,35,5,27,57,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9695936817837287,0.9690500847847822
