,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
1094,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,0.9084449021627189,0.8168680482599504,4464,4357,447,442,0.9706078140820957,0.9701128130744157
4364,easiest-interleaved-25pct,baseline,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.816878664355922,4480,4341,463,426,0.970264324844122,0.9697282497321262
3887,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.9703824489919224,0.9698704262317451
153,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168673738237786,4468,4353,451,438,0.9701344052534018,0.9696376871543451
4564,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-10pct,0.9084449021627189,0.816875395484151,4478,4343,461,428,0.9701963525435556,0.9695054560747125
2719,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,hardest-interleaved-10pct,0.9084449021627189,0.8168696509336263,4473,4348,456,433,0.9705369989949265,0.9700227805498037
6505,baseline,no-easy-90pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.816875395484151,4478,4343,461,428,0.9699547793267805,0.9694224270749621
5875,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,no-easy-95pct,no-hard-95pct,0.9084449021627189,0.8168705224257256,4474,4347,457,432,0.9700270370220767,0.969383804411112
5651,baseline,no-easy-80pct,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9703041662862141,0.9698272902463521
124,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.8168675518830302,4469,4352,452,437,0.9694189989114249,0.968887763036712
3359,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.816878664355922,4480,4341,463,426,0.9699588101436057,0.9692676833663708
5658,baseline,no-easy-80pct,hardest-interleaved-50pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9703041662862141,0.9698272902463521
2718,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.9084449021627189,0.8168673738237786,4468,4353,451,438,0.9704010756086193,0.9698416854833527
1093,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-10pct,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.9701127237018479,0.9695122645816613
5635,baseline,no-easy-80pct,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9700757250463586,0.9693983591091154
4569,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9701589083767332,0.9695861443779595
6535,baseline,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.816878664355922,4480,4341,463,426,0.9698405374920276,0.9692831961046289
540,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9700985946281347,0.9697267685228073
3211,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,no-easy-95pct,0.9084449021627189,0.8168696509336263,4473,4348,456,433,0.9697191886907669,0.9690998011288132
6581,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9707646340714169,0.9703223069228339
4045,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,no-hard-95pct,0.9083419155509783,0.816661843840563,4464,4356,448,442,0.9701300349993703,0.9695889449619192
4305,easiest-interleaved-25pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-95pct,0.9083419155509783,0.8166613658935469,4466,4354,450,440,0.9700670269679466,0.9693522806251179
3716,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.9083419155509783,0.8166625971323705,4471,4349,455,435,0.9701394755966712,0.9695252848990398
735,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-50pct,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9702725986260262,0.9697627224244371
1018,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,0.9083419155509783,0.8166613658935469,4466,4354,450,440,0.9697467467489553,0.969220345368598
6573,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-hard-95pct,0.9083419155509783,0.8166620735968043,4470,4350,454,436,0.9699474177823685,0.9691733463484774
3731,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9083419155509783,0.816673549077499,4480,4340,464,426,0.9704152258971579,0.969887362610948
442,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.9083419155509783,0.8166644631701694,4460,4360,444,446,0.9702056870667295,0.9697112634315986
1019,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,0.9083419155509783,0.8166613658935469,4466,4354,450,440,0.9697467467489553,0.969220345368598
4218,easiest-interleaved-25pct,baseline,no-easy-80pct,hardest-interleaved-50pct,easiest-interleaved-50pct,0.9083419155509783,0.816670144511743,4478,4342,462,428,0.9702866852700885,0.9697774145418937
6501,baseline,no-easy-90pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9083419155509783,0.8166672947317982,4476,4344,460,430,0.9701410030640996,0.9697945545205193
2315,curriculum-reordered-shuffled-20pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9083419155509783,0.8166640601709239,4473,4347,457,433,0.9701713402644148,0.9698308229888313
1906,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,no-hard-95pct,0.9083419155509783,0.8166620735968043,4470,4350,454,436,0.969982613177699,0.9691977435554513
7335,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9083419155509783,0.8166622907490257,4463,4357,447,443,0.9705352381644187,0.9700675464404183
3723,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9083419155509783,0.8166625971323705,4471,4349,455,435,0.9701394755966712,0.9695252848990398
7017,no-easy-80pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9083419155509783,0.816673549077499,4480,4340,464,426,0.9700537464872492,0.9695449275624654
4207,easiest-interleaved-25pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,0.9083419155509783,0.816673549077499,4480,4340,464,426,0.9697880732288252,0.9692830774852251
1899,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,no-hard-95pct,0.9083419155509783,0.8166620735968043,4470,4350,454,436,0.969982613177699,0.9691977435554513
1015,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,0.9083419155509783,0.8166613658935469,4466,4354,450,440,0.9702614820575188,0.9697596212160858
6206,baseline,hardest-interleaved-50pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9083419155509783,0.816670144511743,4478,4342,462,428,0.970500254917342,0.9701451041492887
3717,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,easiest-interleaved-50pct,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9702971441790083,0.9697273020534143
7995,hardest-interleaved-50pct,no-easy-95pct,no-easy-90pct,hardest-interleaved-10pct,no-hard-95pct,0.9083419155509783,0.8166686502769176,4477,4343,461,429,0.9703595369804957,0.9697217570822741
6963,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-90pct,no-hard-95pct,0.9083419155509783,0.8166622907490257,4463,4357,447,443,0.9700112107623318,0.9691618712397753
3724,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,easiest-interleaved-50pct,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9702971441790083,0.9697273020534143
2280,curriculum-reordered-shuffled-20pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9083419155509783,0.8166640601709239,4473,4347,457,433,0.9701713402644148,0.9698308229888313
960,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9083419155509783,0.8166717774429683,4479,4341,463,427,0.9698188347256481,0.9692919952524404
