,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
1875,6,35,31,baseline,0.9081359423274974,0.8162750337157816,4485,4333,471,421,0.9697283534953376,0.9690753333804258
2024,6,31,43,2,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9699180564640215,0.9691637265099402
1892,6,35,1,14,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9698792545483739,0.9693923147436312
2188,28,5,3,14,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.9697154548814974,0.9691478942453928
2618,35,3,27,31,0.9081359423274974,0.8162724332022852,4484,4334,470,422,0.9694941630378,0.9686308555173333
216,34,47,2,1,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.9702474378431073,0.9697735512399094
2275,28,62,43,baseline,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9698050875187922,0.9692097053137331
472,34,35,3,31,0.9081359423274974,0.8162597421049362,4478,4340,464,428,0.9698827549945638,0.969154546858974
2404,17,5,3,2,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9697697224048581,0.9690936926883755
1824,6,17,43,2,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9699493907611303,0.9692996139059313
2418,17,5,27,43,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9698154615684104,0.9693258248969141
221,34,47,baseline,14,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.9700510734192496,0.9695884929168169
2453,17,3,27,31,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9697343148612736,0.9690215842858677
2659,35,62,43,2,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9697549144567323,0.969043323738067
359,34,28,62,31,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9700944577371825,0.9695112938395225
2425,17,5,31,2,0.9081359423274974,0.8162699713679468,4483,4335,469,423,0.9699963603845552,0.9694049031879486
2428,17,5,31,57,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9698568516927565,0.9693504200334433
1938,6,5,57,14,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9696360690048684,0.9691406406284332
648,34,31,43,57,0.9081359423274974,0.8162498462675334,4463,4355,449,443,0.969940947260623,0.9693049723181892
1849,6,35,3,62,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.9696194790114094,0.9689143839287808
2211,28,5,43,baseline,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.969784572782635,0.9692673057295642
2436,17,5,2,1,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.9700548284433442,0.9696037370819718
650,34,31,2,baseline,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.9699602739665579,0.9692429471302259
224,34,47,57,14,0.9081359423274974,0.816250583895119,4470,4348,456,436,0.9699873652985876,0.9694885246279559
2230,28,3,62,1,0.9081359423274974,0.816261510661861,4479,4339,465,427,0.9698828610686909,0.9693672859979328
349,34,28,3,62,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9698790848297706,0.969254090067276
485,34,35,62,57,0.9081359423274974,0.8162502951338984,4462,4356,448,444,0.9696709249629928,0.9690977397999279
1865,6,35,62,14,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.9697705073533979,0.9692059337048718
2647,35,62,27,43,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9695726578917624,0.9688438603073307
653,34,31,2,14,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9700548284433443,0.9693832542693771
