,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2914,3,43,2,baseline,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9697224557738777,0.9688380060519787
2507,17,62,1,14,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9702343695106639,0.969917252369537
1152,37,3,baseline,14,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9696863481410553,0.9690410836192207
2735,5,3,62,1,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9699606134037643,0.9695360436859894
2400,17,5,3,62,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.969952275977384,0.9694714756295038
2264,28,62,27,baseline,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9695994522162364,0.9690232960004992
1176,37,62,2,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9696764196027703,0.9690298671761202
1087,37,5,62,2,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.969912286031514,0.9693976161254825
1008,37,17,43,57,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9698775149326911,0.9693318737245388
1507,47,35,27,57,0.9075180226570546,0.8150362686402274,4481,4331,473,425,0.9695561739724303,0.968880962968361
2129,28,35,5,43,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.969901169463007,0.9693546878888538
1979,6,62,27,1,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9698002505386019,0.969363031946721
975,37,17,3,62,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9699116283719268,0.9693831259473541
1367,47,28,3,43,0.9075180226570546,0.8150362686402274,4481,4331,473,425,0.9700117199181413,0.9693330697265274
2437,17,5,2,57,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9698353822894565,0.9692853154343661
1677,47,43,2,57,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.9698928956811027,0.9692189808980018
2584,35,5,27,2,0.9075180226570546,0.8150362686402274,4481,4331,473,425,0.9695786829021745,0.9689003856528144
2790,5,62,baseline,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9698793181928498,0.9695094358887562
2873,3,62,baseline,57,0.9075180226570546,0.8150135371505461,4461,4351,453,445,0.9695011002857041,0.9688876379958344
3055,2,baseline,1,57,0.9075180226570546,0.8150145441833639,4467,4345,459,439,0.969803793414443,0.9692417440436594
1380,47,28,62,14,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.970061468683693,0.9695294958130862
2876,3,62,1,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9699372134513534,0.9694652156824105
1805,6,17,62,43,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9701534561666068,0.9697125356403323
3056,2,baseline,1,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9699522971922094,0.969401114578215
2105,28,17,31,2,0.9075180226570546,0.8150362686402274,4481,4331,473,425,0.9700818561308978,0.9694144217543212
1973,6,3,1,14,0.9075180226570546,0.8150151963024065,4468,4344,460,438,0.9699072369030698,0.9693846029032824
2721,35,2,baseline,57,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.969469956922024,0.9687463556035877
2166,28,35,43,baseline,0.9075180226570546,0.8150272931694105,4477,4335,469,429,0.9697996353086655,0.9692029967183478
3023,27,baseline,57,14,0.9075180226570546,0.815013655062344,4465,4347,457,441,0.9693901467488875,0.9687800960924825
1005,37,17,43,2,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.9700308981202986,0.9693930712179998
1693,47,baseline,57,14,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9698375249868215,0.9693269684709815
2861,3,62,31,57,0.9075180226570546,0.8150151963024065,4468,4344,460,438,0.9696832507765474,0.9689219091021344
2716,35,43,baseline,14,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9697696375455567,0.9692085984986929
2443,17,5,1,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9702391004167271,0.9699095121095624
3046,43,2,baseline,57,0.9075180226570546,0.8150134180501908,4464,4348,456,442,0.9696437063420109,0.9689045005955931
2447,17,3,62,43,0.9075180226570546,0.8150135371505461,4461,4351,453,445,0.9699570705279232,0.969330123748855
1133,37,3,27,57,0.9075180226570546,0.815013655062344,4465,4347,457,441,0.9693427103993038,0.9685678861384489
1069,37,35,baseline,1,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9698293572790443,0.9693577939811365
2241,28,3,31,2,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9698746085016122,0.9690263994208996
1252,47,6,28,14,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9700881145043894,0.9695685220185287
1792,6,17,5,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9698628554883431,0.9694407820023652
2258,28,3,1,57,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9698419164556783,0.9693361336539676
644,34,27,57,14,0.9075180226570546,0.8150156327805372,4457,4355,449,449,0.9696356659231861,0.9690979745799441
917,37,28,3,14,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9697507987806058,0.9691113290350846
2678,35,27,31,57,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9695157173004014,0.9687432667235907
1912,6,5,27,43,0.9075180226570546,0.815013655062344,4465,4347,457,441,0.9697994019455862,0.9692636609002585
2257,28,3,baseline,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9697189553276876,0.9691087568320902
290,34,6,27,2,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9697890703256187,0.9691306795050062
1131,37,3,27,baseline,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9694623195848817,0.9687436151221768
1963,6,3,43,57,0.9075180226570546,0.8150135371505461,4461,4351,453,445,0.9695765826344604,0.9688456780544049
2034,6,31,baseline,57,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9697935678686025,0.969179802709556
2753,5,3,43,1,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9700189329587756,0.9694853568690651
1425,47,17,5,2,0.9075180226570546,0.8150506036019082,4486,4326,478,420,0.9701393695225442,0.9696585236526757
1011,37,17,2,1,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9701360175801317,0.9696488933141898
2146,28,35,62,43,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9698452471832651,0.9691998610189496
1067,37,35,2,57,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9695454392707803,0.9687846767666972
1141,37,3,43,2,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9697656915880332,0.9689327373978209
2857,3,62,31,43,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9698950171636423,0.9690629344826631
2763,5,3,1,57,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9698006960499355,0.9693209964558863
1143,37,3,43,1,0.9074150360453141,0.8148125559360707,4471,4340,464,435,0.9699345615981789,0.9693782615828552
2583,35,5,27,43,0.9074150360453141,0.8148138293921571,4472,4339,465,434,0.9696867300079122,0.9691101993937707
2747,5,3,31,baseline,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9698680531205651,0.9692329366211725
1230,37,2,baseline,1,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9699228297997355,0.9693517465922673
2050,6,2,baseline,57,0.9074150360453141,0.8148082640121154,4466,4345,459,440,0.9696072804868073,0.9689130420008972
1834,6,17,baseline,57,0.9074150360453141,0.8148082640121154,4466,4345,459,440,0.9697531960558754,0.9692505898277077
2140,28,35,3,baseline,0.9074150360453141,0.8148203069975839,4476,4335,469,430,0.9695966094296335,0.9689174105384373
280,34,6,62,27,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.969806593771395,0.9692955554583503
