,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
404,6,5,1,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.9698565971148516,0.9694517790502456
589,17,2,14,0.9073120494335737,0.8146039684584448,4468,4342,462,438,0.969751244291939,0.9691607051300843
428,6,27,1,0.9073120494335737,0.8146172845806355,4477,4333,471,429,0.9695786616873492,0.9690508749046899
423,6,62,14,0.9073120494335737,0.8146085033126567,4472,4338,466,434,0.9697468740379077,0.9692180899667927
503,28,27,43,0.9073120494335737,0.8146048946844883,4469,4341,463,437,0.9695078041705293,0.9687463257911
539,17,35,57,0.9073120494335737,0.8146031805475239,4467,4343,461,439,0.9694299881909797,0.9688342716553431
607,35,3,27,0.9073120494335737,0.8146133569993094,4475,4335,469,431,0.9691338292284626,0.9682319722616407
385,6,17,14,0.9073120494335737,0.8146085033126567,4472,4338,466,434,0.9698702170327553,0.9694020139880186
372,6,28,57,0.9073120494335737,0.8146048946844883,4469,4341,463,437,0.9694281212863448,0.9687970646372067
272,47,28,5,0.9072090628218331,0.8144935582947989,4499,4310,494,407,0.9698646799633273,0.9694255385881843
731,3,57,14,0.9072090628218331,0.814395508387099,4463,4346,458,443,0.9693078968708303,0.9685905517122975
600,35,5,43,0.9072090628218331,0.814408267016887,4475,4334,470,431,0.9696502405082326,0.9690715282822093
596,35,5,3,0.9072090628218331,0.814414568628867,4478,4331,473,428,0.9694123586710762,0.968701992535105
593,17,1,57,0.9072090628218331,0.8143975486939793,4467,4342,462,439,0.9698097759952045,0.969431350194439
693,5,1,57,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.969661696513946,0.9692572206980535
633,35,31,1,0.9072090628218331,0.8144309075787621,4484,4325,479,422,0.9698729961748821,0.9692963427631492
192,37,35,62,0.9072090628218331,0.8144249077436885,4482,4327,477,424,0.9695535645489066,0.9689095341051059
193,37,35,27,0.9072090628218331,0.8144221154085096,4481,4328,476,425,0.9692675462729287,0.9684628766785277
317,47,3,27,0.9072090628218331,0.8144169458594621,4479,4330,474,427,0.9695049825987515,0.9687611037225065
189,37,17,14,0.9072090628218331,0.8144102292153069,4476,4333,471,430,0.9698669075199937,0.9693871180186695
756,62,baseline,14,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9695803800882061,0.9690992916251395
762,27,31,baseline,0.9072090628218331,0.814408267016887,4475,4334,470,431,0.9693913347791095,0.9686179043701544
174,37,28,baseline,0.9072090628218331,0.8144409453797412,4487,4322,482,419,0.9695446118925899,0.9689914953607827
162,37,6,1,0.9072090628218331,0.8144409453797412,4487,4322,482,419,0.9698876556192303,0.9694360175494872
504,28,27,2,0.9072090628218331,0.814408267016887,4475,4334,470,431,0.969364625313937,0.968553315642497
800,43,baseline,1,0.9072090628218331,0.8143962520074369,4465,4344,460,441,0.9698456926945984,0.9694146315226141
814,baseline,57,14,0.9072090628218331,0.8143954298695573,4460,4349,455,446,0.969301977934545,0.968756161056084
673,5,27,57,0.9072090628218331,0.814395508387099,4463,4346,458,443,0.9691235400381459,0.968495783322207
632,35,31,baseline,0.9072090628218331,0.8144249077436885,4482,4327,477,424,0.9695305464633529,0.9688211457045663
396,6,35,14,0.9072090628218331,0.8144169458594621,4479,4330,474,427,0.9695798072879205,0.9689643575939043
636,35,43,2,0.9072090628218331,0.8144064431474232,4474,4335,469,432,0.969564808406366,0.9687660342982297
414,6,3,57,0.9072090628218331,0.8143953439641824,4462,4347,457,444,0.96921179371179,0.968440998915544
342,47,31,baseline,0.9072090628218331,0.8144221154085096,4481,4328,476,425,0.9698573184189151,0.9692555401152196
659,5,3,14,0.9072090628218331,0.8144064431474232,4474,4335,469,432,0.9695329861682732,0.9689283093297254
485,28,3,62,0.9071060762100926,0.8142052397997301,4476,4332,472,430,0.9695433390030661,0.9687576964133757
405,6,5,57,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9693727081624125,0.9688381577299546
696,3,62,27,0.9071060762100926,0.8141896382385012,4463,4345,459,443,0.9692186248855673,0.9683090924434348
792,31,baseline,14,0.9071060762100926,0.8141995654147763,4473,4335,469,433,0.9697095359452121,0.9691081828445451
551,17,3,62,0.9071060762100926,0.8141905177088605,4465,4343,461,441,0.9697176187936878,0.9690909482038954
465,28,35,3,0.9071060762100926,0.8142147419567765,4480,4328,476,426,0.9694274636267576,0.9686211122746496
770,27,43,14,0.9071060762100926,0.8141893557013442,4460,4348,456,446,0.9695164598192905,0.9688101692297746
769,27,43,57,0.9071060762100926,0.8141898584023857,4458,4350,454,448,0.969203689648489,0.9683859424861814
573,17,27,57,0.9071060762100926,0.8141896382385012,4463,4345,459,443,0.969298922999688,0.9687059591350473
196,37,35,2,0.9071060762100926,0.8142366970684164,4487,4321,483,419,0.9695184115832269,0.9686784276755742
723,3,2,1,0.9071060762100926,0.8141964739198045,4471,4337,467,435,0.9696550774884227,0.9689562020933153
654,5,3,43,0.9071060762100926,0.814191950115949,4467,4341,463,439,0.9695983702601413,0.9688865904550507
730,3,1,14,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9697614698377797,0.9692490930696842
336,47,27,baseline,0.9071060762100926,0.8142121589321889,4479,4329,475,427,0.9694680475877386,0.968854595502976
565,17,62,1,0.9071060762100926,0.8141979505291134,4472,4336,468,434,0.9701005676068964,0.9698149909502197
182,37,17,27,0.9071060762100926,0.8142121589321889,4479,4329,475,427,0.9695819499852852,0.9689988615379912
750,62,2,baseline,0.9071060762100926,0.8141905177088605,4465,4343,461,441,0.9695109015350369,0.9688184782420772
740,62,31,2,0.9071060762100926,0.8142074078617085,4477,4331,473,429,0.9697731379917469,0.9689962761262721
620,35,62,1,0.9071060762100926,0.8142233210888904,4483,4325,479,423,0.9697683222263822,0.96932981759513
560,17,62,27,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9695910935750308,0.9690656881829106
745,62,43,2,0.9071060762100926,0.814191950115949,4467,4341,463,439,0.9697085600632439,0.9689599308183428
653,5,3,31,0.9071060762100926,0.8142264575149936,4484,4324,480,422,0.9696685489025486,0.9689800732422389
613,35,3,57,0.9071060762100926,0.8141905177088605,4465,4343,461,441,0.9691441820632555,0.96833351930041
