,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2521,curriculum-reordered-shuffled-30pct,no-easy-90pct,easiest-interleaved-50pct,no-hard-95pct,0.9073120494335737,0.81460153754966,4460,4350,454,446,0.9697092389376566,0.9692723495321636
82,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,no-hard-90pct,0.9073120494335737,0.8146164614075219,4447,4363,441,459,0.9701025405856581,0.9695885885051153
121,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,baseline,curriculum-reordered-shuffled-30pct,0.9073120494335737,0.8146059592314786,4470,4340,464,436,0.9697499077579392,0.9691600268244743
1382,easiest-interleaved-25pct,no-easy-80pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.9698185165032673,0.9692781387885752
301,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9696040982629981,0.9691337805783882
2212,no-easy-80pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9693033993278465,0.9685349055096667
1740,baseline,no-easy-80pct,no-easy-95pct,easiest-interleaved-50pct,0.9073120494335737,0.8146071621054521,4471,4339,465,435,0.9698774300733898,0.9693475294568233
463,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,0.9073120494335737,0.8146025309461122,4466,4344,460,440,0.970225629002601,0.9696664023297186
2635,hardest-interleaved-50pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,no-hard-80pct,0.9073120494335737,0.8146020196488084,4465,4345,459,441,0.9700332953955682,0.9695021392014723
62,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,no-hard-95pct,0.9073120494335737,0.8146016466504227,4464,4346,458,442,0.9704478330837905,0.9699575396790683
1679,easiest-interleaved-25pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-95pct,0.9073120494335737,0.8146242137862082,4480,4330,474,426,0.9701302895772752,0.969581759943235
2484,curriculum-reordered-shuffled-30pct,no-easy-95pct,no-easy-90pct,hardest-interleaved-10pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9701423608129249,0.969817435895062
1686,easiest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-90pct,0.9073120494335737,0.8146059592314786,4470,4340,464,436,0.9697850395087936,0.9692717691591705
949,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-10pct,no-hard-90pct,0.9073120494335737,0.814601315530702,4462,4348,456,444,0.9700360533228696,0.9695831638333436
766,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9073120494335737,0.8146418092054984,4486,4324,480,420,0.970228089922347,0.9697582584492908
1050,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,no-easy-90pct,hardest-interleaved-10pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.970786867208431,0.9704161216694667
2077,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,no-hard-95pct,0.9073120494335737,0.81460153754966,4460,4350,454,446,0.9695193026058934,0.9688104545232397
1272,easiest-interleaved-25pct,baseline,hardest-interleaved-50pct,hardest-interleaved-10pct,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.9704689630498841,0.9699218070143392
1708,baseline,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,0.9073120494335737,0.81460153754966,4460,4350,454,446,0.9706414820099977,0.9700339157748397
1043,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,no-easy-95pct,hardest-interleaved-10pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.970786867208431,0.9704161216694667
140,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-10pct,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.9698109215957756,0.9692365183350545
1038,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-hard-80pct,0.9073120494335737,0.8146020196488084,4465,4345,459,441,0.970338407014402,0.9698196080127648
1062,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9073120494335737,0.8146059592314786,4470,4340,464,436,0.970206344726317,0.969647420902837
1022,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,0.9073120494335737,0.814601315530702,4462,4348,456,444,0.9704132317035709,0.9698141981864903
1021,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,0.9073120494335737,0.814601315530702,4462,4348,456,444,0.9704132317035709,0.9698141981864903
1654,easiest-interleaved-25pct,no-easy-90pct,hardest-interleaved-10pct,no-hard-95pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.9702947044740879,0.9698131607811076
1093,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9696484584628994,0.9690641821781648
1619,easiest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.969886255440754,0.9693523734597687
1086,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9696484584628994,0.9690641821781648
1624,easiest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.9697525171814627,0.9692042038591132
1631,easiest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,no-hard-90pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9693408647094942,0.9686757371588453
